name,city,country,address,latitude,longitude,website,phone,email,description,instagramUrl,twitterUrl,linkedinUrl,facebookUrl,hotDeskPrice,dedicatedDeskPrice,privateOfficePrice,pricingCurrency,amenities,images,source,sourceId,featured,verified
WeWork Times Square,New York,USA,"1460 Broadway, New York, NY 10036",40.7589,-73.9851,https://www.wework.com/buildings/times-square--new-york--NY,+1-212-555-0100,,Premium coworking space in the heart of Times Square with stunning city views and modern amenities,,,,,450,650,1200,USD,"High-Speed WiFi,Coffee Bar,Meeting Rooms,24/7 Access,Phone Booths,Printing Services,Event Space,Kitchen","https://images.unsplash.com/photo-1497366216548-37526070297c,https://images.unsplash.com/photo-1497366811353-6870744d04b2",Manual,wework-times-square,1,1
WeWork Bryant Park,New York,USA,"7 W 34th St, New York, NY 10001",40.7506,-73.9881,https://www.wework.com/buildings/bryant-park--new-york--NY,+1-212-555-0101,,Beautiful coworking space near Bryant Park with excellent natural light,,,,,425,625,1150,USD,"High-Speed WiFi,Coffee Bar,Meeting Rooms,24/7 Access,Phone Booths,Printing Services,Event Space",https://images.unsplash.com/photo-1497366811353-6870744d04b2,Manual,wework-bryant-park,,1
Regus Empire State Building,New York,USA,"350 Fifth Avenue, Suite 5935, New York, NY 10118",40.7484,-73.9857,https://www.regus.com/en-us/united-states/new-york/new-york-empire-state-building,+1-212-555-0200,,Prestigious office space in the iconic Empire State Building,,,,,500,700,1500,USD,"High-Speed WiFi,Meeting Rooms,Reception,Phone Booths,Printing Services,Admin Support",https://images.unsplash.com/photo-1497366754035-f200968a6e72,Manual,regus-empire-state,1,1
The Wing Soho,New York,USA,"52 Mercer St, New York, NY 10013",40.7236,-73.9991,https://www.the-wing.com,,,"Women-focused coworking and community space in trendy Soho with beautiful design",,,,,500,700,1300,USD,"High-Speed WiFi,Coffee Bar,Wellness Room,Beauty Room,Meeting Rooms,Phone Booths,Showers,Lounge Area",https://images.unsplash.com/photo-1524758631624-e2822e304c36,Manual,wing-soho,,1
Spaces Brooklyn,New York,USA,"594 Broadway, Brooklyn, NY 11211",40.7081,-73.9571,https://www.spacesworks.com,+1-718-555-0100,,Creative coworking space in trendy Williamsburg with rooftop terrace,,,,,380,550,1100,USD,"High-Speed WiFi,Coffee Bar,Meeting Rooms,Outdoor Space,Bike Storage,Event Space,Kitchen",https://images.unsplash.com/photo-1497366216548-37526070297c,Manual,spaces-brooklyn,,1
WeWork SOMA,San Francisco,USA,"535 Mission St, San Francisco, CA 94105",37.7886,-122.3988,https://www.wework.com/buildings/535-mission-street--san-francisco--CA,+1-415-555-0100,,Modern coworking space in SOMA with tech startup community,,,,,550,750,1400,USD,"High-Speed WiFi,Coffee Bar,Meeting Rooms,24/7 Access,Phone Booths,Printing Services,Event Space,Bike Storage",https://images.unsplash.com/photo-1497366216548-37526070297c,Manual,wework-soma-sf,1,1
Galvanize San Francisco,San Francisco,USA,"44 Tehama St, San Francisco, CA 94105",37.7876,-122.3965,https://www.galvanize.com/san-francisco,,,"Tech-focused coworking and education space in SOMA district",,,,,450,650,1250,USD,"High-Speed WiFi,Coffee Bar,Meeting Rooms,Event Space,Kitchen,Podcast Studio,Gym Access",https://images.unsplash.com/photo-1504384308090-c894fdcc538d,Manual,galvanize-sf,1,1
The Vault SF,San Francisco,USA,"415 Jackson St, San Francisco, CA 94111",37.7962,-122.4025,https://www.thevaultsf.com,+1-415-555-0200,,"Historic bank vault transformed into unique coworking space in Financial District",,,,,480,680,1300,USD,"High-Speed WiFi,Meeting Rooms,Phone Booths,Printing Services,Kitchen,Historic Architecture",https://images.unsplash.com/photo-1497366811353-6870744d04b2,Manual,vault-sf,,1
Sandbox Suites,San Francisco,USA,"301 Howard St, San Francisco, CA 94105",37.7895,-122.3951,https://www.sandboxsuites.com,+1-415-555-0300,,Premium coworking with private offices and startup focus in SOMA,,,,,520,720,1450,USD,"High-Speed WiFi,Coffee Bar,Meeting Rooms,24/7 Access,Reception,Mail Handling,Parking",https://images.unsplash.com/photo-1497366754035-f200968a6e72,Manual,sandbox-sf,,1
WeWork Chancery Lane,London,UK,"7-10 Chandos Street, London W1G 9DQ",51.5158,-0.1249,https://www.wework.com/en-GB/buildings/chancery-lane--london,+44-20-5555-0100,,Historic building transformed into modern workspace in central London,,,,,350,500,900,GBP,"High-Speed WiFi,Coffee Bar,Meeting Rooms,Reception,Phone Booths,Printing Services,Event Space",https://images.unsplash.com/photo-1497366811353-6870744d04b2,Manual,wework-chancery-london,1,1
Second Home Spitalfields,London,UK,"68-80 Hanbury St, London E1 5JL",51.5197,-0.0716,https://www.secondhome.io/location/spitalfields,+44-20-5555-0200,,"Beautiful plant-filled coworking space designed for creatives in East London",,,,,380,550,1000,GBP,"High-Speed WiFi,Coffee Bar,Meeting Rooms,Outdoor Space,Event Space,Plants,Kitchen",https://images.unsplash.com/photo-1524758631624-e2822e304c36,Manual,secondhome-spitalfields,1,1
Huckletree Shoreditch,London,UK,"18 Finsbury Sq, London EC2A 1AH",51.5203,-0.0850,https://www.huckletree.com/shoreditch,+44-20-5555-0300,,"Innovation-focused coworking space for tech companies and startups",,,,,360,520,950,GBP,"High-Speed WiFi,Coffee Bar,Meeting Rooms,Phone Booths,Event Space,Podcast Studio",https://images.unsplash.com/photo-1497366216548-37526070297c,Manual,huckletree-shoreditch,,1
The Trampery Old Street,London,UK,"239 Old St, London EC1V 9EY",51.5252,-0.0867,https://www.thetrampery.com,+44-20-5555-0400,,"Community-driven coworking supporting social enterprises and startups",,,,,320,480,880,GBP,"High-Speed WiFi,Meeting Rooms,Event Space,Kitchen,Lounge Area",https://images.unsplash.com/photo-1497366811353-6870744d04b2,Manual,trampery-oldstreet,,1
betahaus Berlin,Berlin,Germany,"Prinzessinnenstr. 19-20, 10969 Berlin",52.5025,13.4105,https://www.betahaus.com/berlin,+49-30-5555-0100,,"Iconic Berlin coworking space fostering creative collaboration since 2009",,,,,280,420,780,EUR,"High-Speed WiFi,Coffee Bar,Meeting Rooms,Event Space,Bike Storage,Workshop Space,Kitchen",https://images.unsplash.com/photo-1497366216548-37526070297c,Manual,betahaus-berlin,1,1
Factory Berlin,Berlin,Germany,"Rheinsberger Str. 76/77, 10115 Berlin",52.5320,13.3822,https://www.factoryberlin.com,+49-30-5555-0200,,"Premium tech community and coworking space in restored factory building",,,,,350,500,950,EUR,"High-Speed WiFi,Coffee Bar,Meeting Rooms,24/7 Access,Event Space,Gym Access,Rooftop Terrace",https://images.unsplash.com/photo-1504384308090-c894fdcc538d,Manual,factory-berlin,1,1
St. Oberholz,Berlin,Germany,"Rosenthaler Str. 72a, 10119 Berlin",52.5262,13.4016,https://www.sanktoberholz.de,+49-30-5555-0300,,"Historic cafe and coworking space in vibrant Mitte district",,,,,250,380,720,EUR,"High-Speed WiFi,Cafe,Meeting Rooms,Lounge Area,Event Space",https://images.unsplash.com/photo-1497366811353-6870744d04b2,Manual,oberholz-berlin,,1
ahoy! Berlin,Berlin,Germany,"Wattstraße 11, 13355 Berlin",52.5438,13.3753,https://www.ahoyberlin.com,+49-30-5555-0400,,"Large creative campus with coworking in Wedding district",,,,,270,400,750,EUR,"High-Speed WiFi,Coffee Bar,Meeting Rooms,Event Space,Outdoor Space,Workshop Space",https://images.unsplash.com/photo-1497366754035-f200968a6e72,Manual,ahoy-berlin,,1
JustCo Singapore Marina,Singapore,Singapore,"9 Straits View, Marina One West Tower",1.2784,103.8535,https://www.justco.com,+65-5555-0100,,"Premium flexible workspace in iconic Marina Bay with harbor views",,,,,420,600,1150,SGD,"High-Speed WiFi,Coffee Bar,Meeting Rooms,24/7 Access,Phone Booths,Event Space,Wellness Room",https://images.unsplash.com/photo-1497366216548-37526070297c,Manual,justco-marina,1,1
The Working Capitol,Singapore,Singapore,"1 Keong Saik Rd, Singapore 089109",1.2790,103.8435,https://www.theworkingcapitol.com,+65-5555-0200,,"Boutique coworking in heritage shophouse with local charm",,,,,380,550,1050,SGD,"High-Speed WiFi,Coffee Bar,Meeting Rooms,Rooftop Terrace,Event Space,Bar",https://images.unsplash.com/photo-1524758631624-e2822e304c36,Manual,workingcapitol-sg,1,1
WeWork Beach Centre,Singapore,Singapore,"15 Beach Rd, Singapore 189677",1.2960,103.8546,https://www.wework.com,+65-5555-0300,,"Modern coworking in prime CBD location near Marina Bay",,,,,450,650,1250,SGD,"High-Speed WiFi,Coffee Bar,Meeting Rooms,24/7 Access,Phone Booths,Printing Services,Event Space",https://images.unsplash.com/photo-1497366811353-6870744d04b2,Manual,wework-beach-sg,,1
WeWork Shibuya,Tokyo,Japan,"1-2-20 Shibuya, Shibuya-ku, Tokyo",35.6595,139.7004,https://www.wework.com/ja-JP/buildings/shibuya--tokyo,+81-3-5555-0100,,Modern workspace in the heart of vibrant Shibuya crossing area,,,,,380,550,1050,JPY,"High-Speed WiFi,Coffee Bar,Meeting Rooms,24/7 Access,Phone Booths,Event Space",https://images.unsplash.com/photo-1497366216548-37526070297c,Manual,wework-shibuya-tokyo,1,1
Fabbit Roppongi,Tokyo,Japan,"7-20-12 Roppongi, Minato-ku, Tokyo",35.6627,139.7293,https://www.fabbit.co.jp,+81-3-5555-0200,,"Startup-focused coworking in international Roppongi district",,,,,340,500,950,JPY,"High-Speed WiFi,Meeting Rooms,Event Space,Kitchen,Lounge Area",https://images.unsplash.com/photo-1504384308090-c894fdcc538d,Manual,fabbit-roppongi,,1
the SNACK,Tokyo,Japan,"2-3-4 Azabujuban, Minato-ku, Tokyo",35.6549,139.7375,https://www.thesnack.jp,+81-3-5555-0300,,"Creative coworking with cafe atmosphere in trendy Azabu area",,,,,320,480,900,JPY,"High-Speed WiFi,Cafe,Meeting Rooms,Event Space,Outdoor Space",https://images.unsplash.com/photo-1497366811353-6870744d04b2,Manual,snack-tokyo,,1
Anticafe Marais,Paris,France,"79 Rue Quincampoix, 75003 Paris",48.8628,2.3509,https://www.anticafe.eu/marais,+33-1-5555-0100,,"Pay-per-minute cafe and coworking in historic Marais district",,,,,8,12,25,EUR,"High-Speed WiFi,Unlimited Coffee,Meeting Rooms,Lounge Area,Games",https://images.unsplash.com/photo-1524758631624-e2822e304c36,Manual,anticafe-marais,1,1
Numa Paris Sentier,Paris,France,"24 Rue du Sentier, 75002 Paris",48.8686,2.3458,https://www.numahq.com,+33-1-5555-0200,,"Modern coworking in the historic newspaper district",,,,,350,500,950,EUR,"High-Speed WiFi,Coffee Bar,Meeting Rooms,Event Space,Kitchen",https://images.unsplash.com/photo-1497366216548-37526070297c,Manual,numa-sentier,,1
Spaces Jardin,Paris,France,"153 Bd Haussmann, 75008 Paris",48.8748,2.3131,https://www.spacesworks.com,+33-1-5555-0300,,"Elegant coworking near Champs-Élysées with Parisian charm",,,,,380,550,1050,EUR,"High-Speed WiFi,Coffee Bar,Meeting Rooms,24/7 Access,Terrace,Event Space",https://images.unsplash.com/photo-1497366811353-6870744d04b2,Manual,spaces-jardin,,1
B.Amsterdam West,Amsterdam,Netherlands,"Hamerstraat 3, 1021 JD Amsterdam",52.3905,4.8751,https://www.b-amsterdam.nl,+31-20-5555-0100,,"Vibrant startup hub and coworking in creative Noord district",,,,,290,420,800,EUR,"High-Speed WiFi,Coffee Bar,Meeting Rooms,Event Space,Bike Storage,Rooftop,Kitchen",https://images.unsplash.com/photo-1497366216548-37526070297c,Manual,bamsterdam-west,1,1
Spaces Vijzelstraat,Amsterdam,Netherlands,"Vijzelstraat 68-78, 1017 HL Amsterdam",52.3629,4.8927,https://www.spacesworks.com,+31-20-5555-0200,,"Central coworking space in canal ring with classic Amsterdam views",,,,,340,490,920,EUR,"High-Speed WiFi,Coffee Bar,Meeting Rooms,Phone Booths,Event Space,Bike Storage",https://images.unsplash.com/photo-1504384308090-c894fdcc538d,Manual,spaces-vijzel,,1
The Thinking Hut,Amsterdam,Netherlands,"Keizersgracht 62-64, 1015 CS Amsterdam",52.3745,4.8871,https://www.thinkinghut.com,+31-20-5555-0300,,"Boutique coworking in historic canal house in Jordaan",,,,,310,450,850,EUR,"High-Speed WiFi,Meeting Rooms,Canal Views,Kitchen,Lounge Area",https://images.unsplash.com/photo-1497366811353-6870744d04b2,Manual,thinkinghut-ams,,1
Astrolabs Dubai,Dubai,UAE,"Dubai Internet City, Building 13",25.0932,55.1684,https://www.astrolabs.com,+971-4-555-0100,,"Tech-focused coworking supporting MENA startups and entrepreneurs",,,,,400,580,1100,AED,"High-Speed WiFi,Coffee Bar,Meeting Rooms,24/7 Access,Event Space,Podcast Studio",https://images.unsplash.com/photo-1497366216548-37526070297c,Manual,astrolabs-dubai,1,1
The Bureau,Dubai,UAE,"Cluster I, JLT, Dubai",25.0711,55.1445,https://www.thebureau.ae,+971-4-555-0200,,"Modern coworking in Jumeirah Lakes Towers with community focus",,,,,380,550,1050,AED,"High-Speed WiFi,Coffee Bar,Meeting Rooms,Phone Booths,Event Space,Prayer Room",https://images.unsplash.com/photo-1524758631624-e2822e304c36,Manual,bureau-dubai,,1
MAKE Business Hub,Dubai,UAE,"Building 4, Dubai Design District",25.1918,55.2882,https://www.makebusinesshub.ae,+971-4-555-0300,,"Creative coworking in Dubai Design District supporting creative businesses",,,,,420,600,1150,AED,"High-Speed WiFi,Meeting Rooms,Event Space,Workshop Space,Terrace,Printing Services",https://images.unsplash.com/photo-1497366811353-6870744d04b2,Manual,make-dubai,,1
Fishburners Sydney,Sydney,Australia,"11 York St, Sydney NSW 2000",-33.8673,151.2068,https://fishburners.org,+61-2-5555-0100,,"Australia's largest startup community and coworking space in CBD",,,,,380,550,1050,AUD,"High-Speed WiFi,Coffee Bar,Meeting Rooms,Event Space,Mentorship,Workshops",https://images.unsplash.com/photo-1497366216548-37526070297c,Manual,fishburners-sydney,1,1
Tank Stream Labs,Sydney,Australia,"12-14 O'Connell St, Sydney NSW 2000",-33.8642,151.2103,https://tankstreamlabs.com,+61-2-5555-0200,,"Tech startup hub in heritage building in Sydney CBD",,,,,360,520,980,AUD,"High-Speed WiFi,Meeting Rooms,Event Space,Mentorship,Lounge Area",https://images.unsplash.com/photo-1504384308090-c894fdcc538d,Manual,tankstream-sydney,1,1
Hub Australia,Sydney,Australia,"50 York St, Sydney NSW 2000",-33.8672,151.2063,https://www.hubaustralia.com,+61-2-5555-0300,,"Premium coworking with focus on sustainability and community",,,,,400,580,1100,AUD,"High-Speed WiFi,Coffee Bar,Meeting Rooms,24/7 Access,Wellness Room,Event Space",https://images.unsplash.com/photo-1497366811353-6870744d04b2,Manual,hub-sydney,,1
MaRS Discovery District,Toronto,Canada,"101 College St, Toronto, ON M5G 1L7",43.6596,-79.3896,https://www.marsdd.com,+1-416-673-6557,,"Canada's largest urban innovation hub supporting tech and science ventures",,,,,350,500,950,CAD,"High-Speed WiFi,Coffee Bar,Meeting Rooms,Event Space,Labs,Mentorship",https://images.unsplash.com/photo-1497366216548-37526070297c,Manual,mars-toronto,1,1
WeWork Richmond Adelaide,Toronto,Canada,"180 John St, Toronto, ON M5T 1X5",43.6491,-79.3897,https://www.wework.com,+1-416-555-0200,,Modern coworking in Entertainment District with startup community,,,,,380,550,1050,CAD,"High-Speed WiFi,Coffee Bar,Meeting Rooms,24/7 Access,Phone Booths,Event Space",https://images.unsplash.com/photo-1524758631624-e2822e304c36,Manual,wework-richmond-toronto,,1
The Workplace One,Toronto,Canada,"1 Yonge St, Toronto, ON M5E 1W7",43.6427,-79.3768,https://www.workplaceone.com,+1-416-555-0300,,"Executive coworking with premium amenities at PATH entrance",,,,,420,600,1150,CAD,"High-Speed WiFi,Coffee Bar,Meeting Rooms,Reception,Concierge,Lake Views",https://images.unsplash.com/photo-1497366811353-6870744d04b2,Manual,workplaceone-toronto,,1
SUP46,Stockholm,Sweden,"Regeringsgatan 65, 111 56 Stockholm",59.3364,18.0625,https://www.sup46.com,+46-8-5555-0100,,"Sweden's leading tech startup hub in central Stockholm",,,,,320,460,880,SEK,"High-Speed WiFi,Coffee Bar,Meeting Rooms,Event Space,Mentorship,Workshops",https://images.unsplash.com/photo-1497366216548-37526070297c,Manual,sup46-stockholm,1,1
Impact Hub Stockholm,Stockholm,Sweden,"Luntmakargatan 25, 111 37 Stockholm",59.3383,18.0639,https://stockholm.impacthub.net,+46-8-5555-0200,,"Global network space supporting social entrepreneurs in Stockholm",,,,,290,420,800,SEK,"High-Speed WiFi,Meeting Rooms,Event Space,Community Kitchen,Sustainability Focus",https://images.unsplash.com/photo-1504384308090-c894fdcc538d,Manual,impacthub-stockholm,1,1
United Spaces Kungsgatan,Stockholm,Sweden,"Kungsgatan 36, 111 35 Stockholm",59.3340,18.0617,https://unitedspaces.se,+46-8-5555-0300,,"Premium flexible workspace on Stockholm's main shopping street",,,,,340,490,920,SEK,"High-Speed WiFi,Coffee Bar,Meeting Rooms,24/7 Access,Event Space,Lounge Area",https://images.unsplash.com/photo-1497366811353-6870744d04b2,Manual,unitedspaces-stockholm,,1
WeWork Austin Domain,Austin,USA,"11601 Domain Dr, Austin, TX 78758",30.4008,-97.7209,https://www.wework.com,+1-512-555-0100,,Tech-focused coworking in Austin's Domain district with startup energy,,,,,420,600,1150,USD,"High-Speed WiFi,Coffee Bar,Meeting Rooms,24/7 Access,Event Space,Bike Storage,Podcast Studio",https://images.unsplash.com/photo-1497366216548-37526070297c,Manual,wework-austin-domain,1,1
